	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ʃ	2/3	0.7730732329435985
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	3/3	1.0
	2/3	3/3	3/3
	0.8422003355427999	1.0	1.0
