	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	vʲ	zʲ	5/5	1.0
periodicGlottalSource:-	f	s	ʃ		sʲ	4/5	0.9977432741285219
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.5367765330186429	1.0
