name,glottocode
AlbanianArberesh,arbe1236
AlbanianGheg,gheg1238
AlbanianStandard,alba1267
AncientGreek,anci1242
AngloNorman,angl1258
ArmenianEastern,nucl1235
ArmenianWestern,homs1234
Assamese,assa1263
AvestanYounger,aves1237
Bactrian,bact1239
Bakhtiari,bakh1245
BalochiSistani,west2368
Belarusian,bela1254
Bengali,beng1280
Bhojpuri,bhoj1244
BretonGwened,vann1244
BretonTreger,treg1244
Bulgarian,bulg1262
Catalan,stan1289
ClassicalArmenian,clas1249
Czech,czec1258
DalmatianVegliote,dalm1243
Danish,dani1285
Delvari,sout2645
Dutch,dutc1256
Elfdalian,elfd1234
English,stan1293
Faroese,faro1244
Flemish,vlaa1240
FrancoProvencal,fran1269
French,stan1290
Frisian,west2354
Friulian,friu1240
GaelicIrish,iris1253
GaelicManx,manx1243
GaelicScottish,scot1245
Gaulish,tran1282
Gawarbati,gawa1247
Gawri,kala1373
German,stan1295
GermanBernese,swis1247
Gothic,goth1244
Greek,mode1248
GreekCappodocian,capp1239
GreekCypriot,cypr1249
GreekItaliot,apul1236
GreekPontic,pont1253
Hawrami,hawr1243
Hindi,hind1269
Hittite,hitt1242
Icelandic,icel1247
Italian,ital1282
KalasalaNiseigram,chim1297
Kamviri,kamv1242
Kashmiri,kash1277
Kashubian,kash1274
KatavariEastern,east2308
KatavariKtivi,west2372
Khotanese,khot1251
Khowar,khow1242
Khwarazmian,khwa1238
Kumzari,kumz1235
KurdishCJafi,cent1972
KurdishNBahdini,nort2641
KurdishSElami,sout2640
KurdishSQorveh,sout2640
Ladin,ladi1250
Lari,lari1253
Latgalian,east2282
Latin,lati1261
Latvian,stan1325
Lithuanian,lith1251
Luvian,cune1239
Luxembourgish,luxe1241
Macedonian,mace1250
MacedonianSuho,mace1250
MacedonianVisoka,mace1250
Magahi,maga1260
Maithili,mait1250
Marathi,mara1378
Mazanderani,maza1291
MeglenoRomanian,megl1237
MiddleBreton,midd1359
MiddleCornish,oldc1252
MiddleDutch,midd1321
MiddleHighGerman,midd1343
MiddlePersian,pahl1241
MiddleWelsh,midd1363
Milanese,mila1243
MycenaeanGreek,myce1241
NTGreek,koin1234
Neapolitan,neap1235
Nepali,east1436
NorwegianBokmal,norw1259
NorwegianNynorsk,norw1262
OldBreton,oldb1248
OldCatalan,oldc1251
OldChurchSlavonic,chur1257
OldEnglish,olde1238
OldFrisian,oldf1241
OldHighGerman,oldh1241
OldIcelandic,oldn1244
OldIrish,oldi1245
OldNovgorod,oldr1238
OldOccitan,oldp1253
OldPersian,oldp1254
OldPrussian,prus1238
OldSaxon,olds1250
OldSpanish,olds1249
OldWelsh,oldw1241
Oscan,osca1245
OsseticDigor,digo1242
OsseticIron,iron1242
Pali,pali1273
Palula,ashr1238
Parthian,part1239
PashaiNorthWest,nort2665
Pashto,yusu1238
PersianTehran,west2369
Polabian,pola1255
Polish,poli1260
Portuguese,port1283
PortugueseBrazilian,braz1246
Punjabi,panj1256
RajiBarzoki,cent2264
Romanian,roma1327
Russian,russ1263
Rusyn,rusy1239
SanuviriWama,ashk1246
SardinianLogudoro,logu1236
SardinianNuoro,nuor1238
Sarikoli,sari1246
SerboCroatian,croa1245
Sinhalese,sinh1246
Slovak,slov1269
Slovene,slov1268
SloveneEarlyModern,slov1268
SloveneKostel,lowe1384
Sogdian,sogd1245
SorbianLower,lowe1385
SorbianUpper,uppe1395
Spanish,stan1288
Swedish,swed1254
Tati,take1255
TocharianA,tokh1242
TocharianB,tokh1243
TsakonianPeloponnese,tsak1248
TsakonianPropontis,prop1240
Ukrainian,ukra1253
Umbrian,umbr1253
Urdu,urdu1245
VasiVariPaski,lowe1390
VedicEarly,sans1269
Wakhi,wakh1245
Walloon,wall1255
WelshNorth,nort2668
Yaghnobi,yagn1238
