	labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	s	ʃ	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	z		1/2	0.6955514884921671
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	nz		1/2	0.9938216793391884
	3/3	1/3
	1.0	0.7843079521830666
