	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;front:+;high:+;low:-;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	bʲ	dʲ	ɡ	ɡʲ	6/6	1.0
periodicGlottalSource:+;category:fricative		z		zʲ			2/6	0.3151000053546724
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive					t̠ʃ	t̠ʃʲ	2/6	0.46065085593261107
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s		sʲ	ʃ	ʃʲ	4/6	0.8421686629294102
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ		tʲʰ	kʰ	kʲʰ	5/6	0.9976874057809344
	2/5	4/5	1/5	4/5	4/5	4/5
	0.353102157086146	0.55473995342516	0.25071336883827927	0.6077089448164946	0.934918965120023	0.9560854829787963
