	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	z		zʲ		2/4	0.7329337273815132
periodicGlottalSource:-	s	ʃ	sʲ	ʃʲ	4/4	1.0
	2/2	1/2	2/2	1/2
	1.0	0.7783204924998441	1.0	0.6918955349322642
