	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	dz	d̠ʒ	2/2	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	t̠ʃʼ	2/2	1.0
	3/3	3/3
	1.0	1.0
