	labial:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;anterior:-;distributed:-;high:0;low:0;front:0;back:0	labial:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
spreadGlottis:-	ts	t̠ʃ	ʈʂ	t̠ʃʷ	4/4	1.0
spreadGlottis:+	tsʰ	t̠ʃʰ	ʈʂʰ	t̠ʃʷʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
