	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:+;coronal:-;dorsal:-,+;front:+;round:-	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
spreadGlottis:-	p	t	tʷ	pʲ	tʲ	k	kʲ	kʷ	8/8	1.0
spreadGlottis:+	pʰ	tʰ	tʷʰ	pʲʰ	tʲʰ	kʰ	kʲʰ	kʷʰ	8/8	1.0
	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
