	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	ts	t̠ʃ	ʈʂ	tʷ	t̠ʃʷ	pʲ	tʲ	k	kʲ	kʷ	12/12	1.0
periodicGlottalSource:+;category:fricative					ʐ								1/12	0.043532014985827816
spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	tsʰ	t̠ʃʰ	ʈʂʰ	tʷʰ	t̠ʃʷʰ	pʲʰ	tʲʰ	kʰ	kʲʰ	kʷʰ	12/12	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ		sʷ	ʃʷ			x	xʲ	xʷ	8/12	0.8404953104574074
	3/4	2/4	3/4	3/4	3/4	3/4	3/4	2/4	2/4	3/4	3/4	3/4
	0.9240875405472573	0.9034423347639959	0.8709288035440903	0.9236299312927462	0.5932265368002679	0.8801061793849979	0.7462411569241734	0.6508688205846297	0.6993989481083738	0.9458406081852454	0.9566817010084276	0.9619257370329851
