	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		d		ɡ	2/4	0.5988126616852452
periodicGlottalSource:-	p	t	c	k	4/4	1.0
	1/2	2/2	1/2	2/2
	0.6469266840209866	1.0	0.5397368573575658	1.0
