	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡb	3/3	1.0
periodicGlottalSource:-	p	t	kp	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
