	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	kʷ	4/4	1.0
constrictedGlottis:+;raisedLarynxEjective:+		tʼ	kʼ	kʷʼ	3/4	0.794144487125929
	1/2	2/2	2/2	2/2
	0.9273728218685919	1.0	1.0	1.0
