	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	z̪	ʐ	3/3	1.0
periodicGlottalSource:-	f	s̪	ʂ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
