	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p	t	ts	k	kʷ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			z			1/5	0.4103040391419254
	1/2	1/2	2/2	1/2	1/2
	0.8193116721644668	0.9640889856444032	1.0	0.8774850163606285	0.8864603338626111
