p͈	t̪͈	t̺͈	ȶ͈	k͈	5/5	1.0
p͉	t̪͉	t̺͉	ȶ͉	k͉	5/5	1.0
ɸ	θ		ɕ		3/5	0.7956608881944374
3/3	3/3	2/3	3/3	2/3
1.0	1.0	0.9568300056080199	1.0	0.8671914807748498
