	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0;anterior:+	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+;anterior:+	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
fortis:+;category:plosive	p͈	t̪͈	t̺͈	ȶ͈	k͈	5/5	1.0
fortis:-; ͉:+;category:plosive | fortis:-; ͉:-;category:plosive	p͉	t̪͉	t̺͉	ȶ͉	k͉	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ	θ		ɕ		3/5	0.7956608881944374
	3/3	3/3	2/3	3/3	2/3
	1.0	1.0	0.9568300056080199	1.0	0.8671914807748498
