	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:+	b̤	d̤	ɖ̤	ɟ̤	ɡ̤	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	ʈ	c	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	ʈʰ		kʰ	4/5	0.9495385262205662
	4/4	4/4	4/4	3/4	4/4
	1.0	1.0	1.0	0.8909471381913421	1.0
