	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive		t	ts	t̠ʃ	k	kʷ	5/6	0.7973723655631447
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b	d	dz	d̠ʒ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:+;category:fricative	v		z	ʒ	ɣ		4/6	0.9011830691687849
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd					2/6	0.5422155063995344
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ			3/6	0.6717956733322242
	4/5	3/5	4/5	4/5	3/5	2/5
	0.5013658415251786	0.9024938219897998	0.9931053425600004	0.9899408255892875	0.8564048695041118	0.7259992029498636
