	t	ts	t̠ʃ	k	kʷ	5/6	0.7973723655631447
b	d	dz	d̠ʒ	ɡ	ɡʷ	6/6	1.0
v		z	ʒ	ɣ		4/6	0.9011830691687849
mb	nd					2/6	0.5422155063995344
f		s	ʃ			3/6	0.6717956733322242
4/5	3/5	4/5	4/5	3/5	2/5
0.5013658415251786	0.9024938219897998	0.9931053425600004	0.9899408255892875	0.8564048695041118	0.7259992029498636
