	labiodental:0;strident:+;anterior:+;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z	ɟʝ	2/2	1.0
periodicGlottalSource:-	t̪s	cç	2/2	1.0
	2/2	2/2
	1.0	1.0
