	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+	v	z		ɣ	3/4	0.8607158650848593
periodicGlottalSource:-	f	s	ʃ	ç	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.784333365145307	1.0
