p	t	t̠ʃ	tx	t̠ʃx	k		-		6/8	0.9139944678755708
	dʼ//tʰʼ	d̠ʒʼ//t̠ʃʼ		-	ɡʼ	kxʼ	-		4/7	0.807616007294996
pʰ	tʰ	d̠ʒʰ//t̠ʃʰ	-	-	kʰ		-		4/6	0.9913779133269179
-	-	-	-	-		-	qn	qm	2/3	0.9886730510569736
b	d	d̠ʒ	-	-	ɡ		-		4/6	0.9307371890950491
bʱ	dʱ		-	-	ɡʱ		-	-	3/5	0.9574972679829171
-	-	-	dx	-	-	-	-	-	1/1	1.0
-	-	-	-	d̠ʒxʼ	-	-	-	-	1/1	1.0
			-	-	ç	x	-		2/6	0.6361894890982737
mb	nd	-		-	ŋɡ		-		3/6	0.9965366353740787
5/7	6/7	4/6	2/4	2/2	7/8	2/7	1/1	1/7
0.7764635121109463	0.9490506163744522	0.6924859058821584	0.6059272434544112	1.0	0.9999920044684626	0.2779346991672551	1.0	0.15252365592057382
