	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+,-;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;front:-;back:-	labial:-;coronal:+,-;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;front:-;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;category:plosive | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;category:fricative	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;category:affricate | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;category:fricative	labial:-;coronal:-,+;strident:-;anterior:+;distributed:-;dorsal:+,-;high:-;front:-;back:+	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+,-;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	tx	t̠ʃx	k		-		6/8	0.9139944678755708
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:-;category:affricate|plosive		dʼ//tʰʼ	d̠ʒʼ//t̠ʃʼ		-	ɡʼ	kxʼ	-		4/7	0.807616007294996
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	pʰ	tʰ	d̠ʒʰ//t̠ʃʰ	-	-	kʰ		-		4/6	0.9913779133269179
periodicGlottalSource:-,+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-,+;nasal:-,+;category:affricate|plosive	-	-	-	-	-		-	qn	qm	2/3	0.9886730510569736
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	d̠ʒ	-	-	ɡ		-		4/6	0.9307371890950491
periodicGlottalSource:+;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	bʱ	dʱ		-	-	ɡʱ		-	-	3/5	0.9574972679829171
periodicGlottalSource:+,-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	-	-	-	dx	-	-	-	-	-	1/1	1.0
periodicGlottalSource:+,-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;sonorant:-;nasal:-;category:affricate|plosive	-	-	-	-	d̠ʒxʼ	-	-	-	-	1/1	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative				-	-	ç	x	-		2/6	0.6361894890982737
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd	-		-	ŋɡ		-		3/6	0.9965366353740787
	5/7	6/7	4/6	2/4	2/2	7/8	2/7	1/1	1/7
	0.7764635121109463	0.9490506163744522	0.6924859058821584	0.6059272434544112	1.0	0.9999920044684626	0.2779346991672551	1.0	0.15252365592057382
