			ɡb	ɡ	2/5	0.32762146323047564
ɓ	ɗ	-	-		2/3	0.8038629283657579
v	z	ʒ	-		3/4	0.7554035777741186
p	t	t̠ʃ	kp	k	5/5	1.0
f	s		-		2/4	0.6434254446406612
4/5	4/5	2/4	2/2	2/5
0.7509599328076818	0.8210674444408093	0.5662445806674083	1.0	0.813686642648233
