	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,-,+ | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:0;lateral:-	labial:-;coronal:+;strident:-;anterior:+,-;distributed:-,+;dorsal:-,+;front:+;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive			t	-	k	2/4	0.7326131581154174
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	mbʷ	nd	nɟ		4/5	0.6550674941064095
periodicGlottalSource:+;category:fricative	β	βʷ		-		2/4	0.27435220336695965
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	-	x	2/4	0.8169515391971048
	2/4	2/4	3/4	1/1	2/4
	0.3527287032102056	0.3823032551631575	0.9143929423134103	1.0	0.7083174978020219
