	labial:+;coronal:-;dorsal:-;round:-	labial:+;coronal:-;dorsal:-;round:-,+	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	β	βʷ			2/4	0.2700345348985572
periodicGlottalSource:-			s	x	2/4	0.8201442573776745
	1/2	1/2	1/2	1/2
	0.3398854072137312	0.047452038244610764	0.7903072196662834	0.7047720672108528
