	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+	labial:-;coronal:+;strident:-;anterior:-;dorsal:+;high:+;front:+;back:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;distributed:+;low:0	count	markedness_count
periodicGlottalSource:+	β		ɣ	ʁ	ʝ	4/5	0.7464396670488525
periodicGlottalSource:-		s̻			ʃ	2/5	0.6807354582347612
	1/2	1/2	1/2	1/2	2/2
	0.33745490270910106	0.8010111641619156	0.30055806067099383	0.3041316844647587	1.0
