p	t̪	t	t̠ʃ	ʈʂ	k	6/6	1.0
				ʐ	ɣ	2/6	0.5221393327047946
f	θ		ʃ	s		4/6	0.7561336259967913
2/3	2/3	1/3	2/3	3/3	2/3
0.865906311579562	0.9234031060485615	0.8814355835363782	0.8822796048545632	1.0	0.7734093691617321
