	labiodental:0;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+		z		1/3	0.6734872734387857
periodicGlottalSource:-	ɬ	s	ʃ	3/3	1.0
	1/2	2/2	1/2
	0.9048884957099266	1.0	0.784333365145307
