	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:+	b̤	d̪̤|d̤	ɡ̤	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t̪|t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ|tʰ	kʰ	3/3	1.0
	4/4	4/4	4/4
	1.0	1.0	1.0
