	labial:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;distributed:0;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪|d	d̪z̪|dz	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̪̤|d̤	d̪z̪̤|dz̤	ɡ̤	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s̪|s		1/4	0.5855276217792269
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪|t	t̪s̪|ts	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ|tʰ	t̪s̪ʰ|tsʰ	kʰ	4/4	1.0
	4/5	4/5	5/5	4/5
	0.8419662670981969	0.9310914630622188	1.0	0.8701631738797381
