	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	kp	c	k	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-			ɡb	ɟ	ɡ	3/5	0.35342352017563755
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb	ɲɟ	ŋɡ	5/5	1.0
	2/3	2/3	3/3	3/3	3/3
	0.6707221651010207	0.7161299328592508	1.0	1.0	1.0
