	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z	ʒ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	nz		2/3	0.9972321670327026
	3/3	3/3	2/3
	1.0	1.0	0.9999764331072745
