	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0 | labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		ɣ	1/2	0.5902425730082236
periodicGlottalSource:-	s	ʃ	2/2	1.0
	1/2	2/2
	0.7931118804251478	1.0
