	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive					ɡ		1/6	0.2936353361588058
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ʃ	s	x	χ	4/6	0.7161957659153307
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	ʈʂ	k		5/6	0.9524400197747677
	1/3	1/3	2/3	2/3	3/3	1/3
	0.544891187066155	0.6560010527343105	0.8300249876283463	0.9188528224127157	1.0	0.28522200534493625
