	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+,-;distributed:-,+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p			t	-	t̠ʃ	k	4/6	0.9996877494351366
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b		-	d		d̠ʒ	ɡ	4/6	0.9996078923483631
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	β	v	-	z	-			3/5	0.6255402962499076
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	ɱv	nz		-			2/5	0.933887485700024
periodicGlottalSource:-;sonorant:+,-;nasal:+,-;DEVOICED:+;category:fricative	-	ɱ̥f	-	-	n̥ʃ	-	-	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb			nd	-	n̠d̠ʒ	ŋɡ	4/6	0.9998367864033183
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		f	ns	s	-	ʃ		4/6	0.76218177578705
periodicGlottalSource:-;sonorant:+,-;nasal:+,-;category:affricate|plosive					-	n̠̥t̠ʃ		1/6	0.09712054524286771
	4/6	4/8	2/5	5/7	1/2	5/7	3/7
	0.9507830279323668	0.9934903271408839	0.3611655416551878	0.9894030317030993	0.05032822757111582	0.9236936179361749	0.8132083383581554
