	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+,-;distributed:-,+;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		f	s	-	ʃ	3/4	0.9444544432484058
periodicGlottalSource:+;sonorant:-;nasal:-	β	v	z	-		3/4	0.814655644751153
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	-	ɱv	nz	-		2/3	0.9972321670327026
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	-		ns	-		1/3	0.5426922661406209
periodicGlottalSource:-;sonorant:+,-;nasal:+,-;DEVOICED:+	-	ɱ̥f	-	n̥ʃ	-	2/2	1.0
	1/2	4/5	4/4	1/1	1/4
	0.5479002076962644	0.9994527051814943	1.0	1.0	0.7842155445650043
