	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
spreadGlottis:-	ts	t̠ʃ	2/2	1.0
spreadGlottis:+		t̠ʃʰ	1/2	0.43321052729923504
	1/2	2/2
	0.816485463905701	1.0
