	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	dʲ		3/4	0.6678887556547409
periodicGlottalSource:-;spreadGlottis:-	p	t	tʲ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ			kʰ	2/4	0.6676681634051161
	3/3	2/3	2/3	2/3
	1.0	0.8990964713956104	0.8582533224256533	0.7195508676860728
