b	d	dʲ		3/4	0.6678887556547409
p	t	tʲ	k	4/4	1.0
pʰ			kʰ	2/4	0.6676681634051161
3/3	2/3	2/3	2/3
1.0	0.8990964713956104	0.8582533224256533	0.7195508676860728
