b	d	d̠ʒ	ɡ	4/4	1.0
f	s	ʃ		3/4	0.7995231840960895
	t		k	2/4	0.6932882023541533
2/3	3/3	2/3	2/3
0.45512437056774824	1.0	0.4670100673830688	0.8704935942677532
