	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ʒ	ʁ	2/3	0.5188238111937583
periodicGlottalSource:-	s	ʃ		2/3	0.7591223779861952
	1/2	2/2	1/2
	0.7931118804251478	1.0	0.2955652519701484
