	labial:+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
constrictedGlottis:-;category:affricate|plosive	p		t̪|t	t̠ʃ	k	kʷ	q	qʷ	7/8	0.9939916546767708
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ̪|ɬ		ʃ	x	xʷ	χ	χʷ	6/8	0.77433583165541
constrictedGlottis:+;category:plosive | constrictedGlottis:+;category:affricate | constrictedGlottis:-,+;category:plosive | constrictedGlottis:-,+;category:affricate | constrictedGlottis:-,+;category:plosive;raisedLarynxEjective:- | constrictedGlottis:-,+;category:affricate;raisedLarynxEjective:-	pˀ	t̪ɬ̪ˀ|tɬˀ		t̠ʃˀ	kˀ	kʷˀ	qˀ	qʷˀ	7/8	0.7912978525351111
	2/3	2/3	1/3	3/3	3/3	3/3	3/3	3/3
	0.8428148468284339	0.7455333531614762	0.8768966910808454	1.0	1.0	1.0	1.0	1.0
