	labiodental:0;lateral:-,+;strident:-;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-		t̠ʃ	1/2	0.9591193658521242
constrictedGlottis:+ | constrictedGlottis:-,+ | constrictedGlottis:-,+;raisedLarynxEjective:-	t̪ɬ̪ˀ|tɬˀ	t̠ʃˀ	2/2	1.0
	1/2	2/2
	0.4149412559768197	1.0
