	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;distributed:0;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
constrictedGlottis:-	p	t̪|t	k	kʷ	q	qʷ	6/6	1.0
constrictedGlottis:+	pˀ		kˀ	kʷˀ	qˀ	qʷˀ	5/6	0.9639357975306053
	2/2	1/2	2/2	2/2	2/2	2/2
	1.0	0.8835171856412255	1.0	1.0	1.0	1.0
