	labial:+;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;distributed:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;distributed:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;lateral:-;distributed:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;distributed:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-,+;distributed:+;high:+;low:-;front:+;back:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪|t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪|s	ʃ	2/3	0.8798492360156795
	1/2	2/2	2/2
	0.6992274671292704	1.0	1.0
