	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪|t	k	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;sonorant:-;nasal:-	b	n̪d̪|nd	ŋɡ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
