	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	ð		ɣ	3/4	0.9538822401306638
periodicGlottalSource:-		s̪|s	ʂ		2/4	0.6011601367334136
	1/2	2/2	1/2	1/2
	0.33747892892306774	1.0	0.7852344022042395	0.2955652519701484
