	labiodental:0;anterior:+;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+		ɖʐ	1/2	0.03170170387341559
periodicGlottalSource:-	t̪s̪	ʈʂ	2/2	1.0
	1/2	2/2
	0.7891798885860414	1.0
