	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	z̪|z	1/1	1.0
periodicGlottalSource:-	s̪|s	1/1	1.0
	2/2
	1.0
