	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɡ	ɢ	4/4	1.0
periodicGlottalSource:-	p	t̪|t	k		3/4	0.9443042817967569
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.12854702696295717
