	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	tʼ	kʼ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪		ɡ	3/4	0.7397588451522278
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	t	k	4/4	1.0
	3/3	3/3	2/3	3/3
	1.0	1.0	0.7128355340611151	1.0
