	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:affricate|plosive		ɗ	-		1/3	0.3966736249610224
periodicGlottalSource:+;category:fricative	v	z		ɣ	3/4	0.9848650392993151
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t̪	tɕ	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s		x	3/4	0.9873176530603627
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:affricate|plosive		t̪ʰ			1/4	0.5070937359097591
	3/5	5/5	1/4	3/5
	0.8563366942710544	1.0	0.4596823598934649	0.8567184553569525
