	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:-;strident:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+		ɗ		1/3	0.40274224279525267
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-	p	t̪	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-		t̪ʰ		1/3	0.3556523485250878
	1/3	3/3	1/3
	0.7951425549478135	1.0	0.8167358680728906
