	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p		t		t̪	t̠ʃ	k	kʷ	q	7/9	0.9939410454198498
periodicGlottalSource:+;category:fricative	β									1/9	0.2666766891927895
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ̻		ɬ	s	s̪	x	xʷ		6/9	0.7648835350091782
	2/3	1/3	1/3	1/3	2/3	2/3	2/3	2/3	1/3
	0.7383515383118822	0.9117168167055303	0.9995834399920466	0.733672977471822	0.8672607033873824	0.8738725976812755	0.9238858559377155	0.9214894168156873	0.42487187690608075
