	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;strident:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	cʼ	qʼ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ		3/4	0.9831898065210055
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	q	4/4	1.0
	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	0.8781096831786427
