	sʼ				1/5	0.5718604553469168
v	z	ʒ		ʕ	4/5	0.7730094212621345
f	s	ʃ	x	ħ	5/5	1.0
2/3	3/3	2/3	1/3	2/3
0.989771094892379	1.0	0.9788703847932235	0.6939387100385429	0.988988033236322
