	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		sʼ				1/5	0.5718604553469168
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	v	z	ʒ		ʕ	4/5	0.7730094212621345
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	f	s	ʃ	x	ħ	5/5	1.0
	2/3	3/3	2/3	1/3	2/3
	0.989771094892379	1.0	0.9788703847932235	0.6939387100385429	0.988988033236322
