	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;lateral:-;distributed:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	ᶑ	-		2/3	0.8157330686974201
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;category:fricative	v	z	-		2/3	0.805875843090709
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-		2/3	0.8526070580103525
	5/5	5/5	2/2	2/5
	1.0	1.0	1.0	0.8087814480436025
