	labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-		d̠ʒ	1/2	0.639585326165606
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ndz	n̠d̠ʒ	2/2	1.0
	2/3	3/3
	0.8365605931842227	1.0
