	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+,-;round:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	bv	d		d̠ʒ	dʷ	ɡb	ɡ		7/9	0.9768632780031966
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-			-		-		ɠɓ	2/6	0.4082351009922026
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		f			s	sʷ	-		-	3/7	0.660675122549239
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	pf	t	ʈ	t̠ʃ			k	-	6/8	0.9913608100200686
	3/4	3/3	2/4	1/4	3/3	2/4	1/2	2/4	1/2
	0.9621163300422519	1.0	0.8918022972913467	0.798363223697568	1.0	0.33305312118602126	0.5317990059490916	0.8604655199166267	0.7431952662721895
