-	-	-	ˀs	-	-	ˀʃʷ	-	-	2/2	1.0
v	ð		z	ʒ	ʒʷ	-	vʲ	ðʲ	7/8	0.976893163287335
f		ɬ	s	ʃ	ʃʷ	-	fʲ		6/8	0.9073342463148141
2/2	1/2	1/2	3/3	2/2	2/2	1/1	2/2	1/2
1.0	0.28571912209467787	0.8974426058556286	1.0	1.0	1.0	1.0	1.0	0.286372644341998
