	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:+	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	labial:0,-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-	p	t	pʲ	kp	c//cʲ	k	cʷ	kʷ		8/9	0.9994896179871695
periodicGlottalSource:-;constrictedGlottis:+,-			-	ˀkp	ˀc	ˀk	-	-		3/6	0.24179428422452523
periodicGlottalSource:+;constrictedGlottis:-	b	d	bʲ	ɡb	ɟ//ɟʲ	ɡ	ɟʷ	ɡʷ	-	8/8	1.0
periodicGlottalSource:+;constrictedGlottis:+,-	ˀb		-	ˀɡb	-	-	-	-	ˀɡʷ	3/4	0.7333894378102946
	3/4	2/4	2/2	4/4	3/3	3/3	2/2	2/2	1/3
	0.9988419634332996	0.9989489275638557	1.0	1.0	1.0	1.0	1.0	1.0	0.0024142208001293668
